date,account_id,account_name,service,region,daily_cost,lgbm_predicted_cost,ensemble_score,stl_anomaly_score,lgbm_anomaly_score,iforest_anomaly_score,is_actual_anomaly,actual_anomaly_type,top_feature,top_feature_shap
2026-03-18,221958771155,prod-main,AmazonSageMaker,us-east-1,113437.518511,65428.53263049184,0.8410055257481379,25.440417310851267,168.72647850118233,0.10721424147685765,1,drift,cost_per_resource,11437.86090856854
2026-03-12,231932465838,prod-ml,AmazonDynamoDB,ap-southeast-1,7.932573,-363.9888433713653,0.5866050181537595,35.45101625909543,1.3078209630846196,-0.1720596424625752,1,spike,cost_ratio_to_7d_mean,464.3858940360711
2026-03-12,231932465838,prod-ml,AmazonDynamoDB,us-east-1,5.43577,-163.69468644305024,0.5440213601869587,32.993405411384565,0.5951198205190356,-0.18464856446138322,1,spike,cost_ratio_to_7d_mean,474.7322891806285
2026-02-16,231932465838,prod-ml,AmazonS3,ap-southeast-1,545.015217,1115.9031822451725,0.5419587982243808,32.107365913759445,2.005646874619704,-0.12880232180784024,1,drift,cost_ratio_to_28d_mean,1311.5690777067691
2026-03-31,359178744167,staging,AmazonSageMaker,us-east-1,23935.575496,22829.463963549635,0.5274312996639475,29.047670175002626,3.888104299061875,0.05888840999067968,1,drift,cost_per_resource,8949.987469796613
2026-01-23,210268832180,dev,AmazonEC2,ap-southeast-1,938.123776,767.6533277470636,0.5169500626942586,30.861040897857947,0.5998291709470428,-0.14217265603516793,1,spike,cost_ratio_to_7d_mean,451.2687281116724
2026-01-23,210268832180,dev,AmazonEC2,eu-west-1,1128.488099,831.8031749646328,0.5098766795600247,30.27509539878171,1.0434051623534264,-0.13432414592302777,1,spike,cost_ratio_to_7d_mean,414.71048754524577
2026-03-31,231932465838,prod-ml,AmazonSageMaker,us-east-1,37334.361275,43852.21770486634,0.48460787013847617,23.474550305215786,22.906042143892297,0.08237629588804629,1,drift,cost_per_resource,10578.183779686233
2026-02-17,231932465838,prod-ml,AmazonS3,eu-west-1,566.320929,2642.5313832277225,0.46175407496174203,26.26317830233704,7.296045708013334,-0.1231305760968433,1,drift,cost_ratio_to_28d_mean,1736.7411785995628
2026-03-20,231932465838,prod-ml,AmazonDynamoDB,us-east-1,4.877987,-764.2335702453569,0.4363562984277638,25.996644523968822,2.703730659043181,-0.19251840649694424,1,drift,cost_per_resource,-334.5943300318315
2026-03-17,221958771155,prod-main,AmazonSageMaker,us-east-1,78687.497828,63491.543675022695,0.4303321469061858,15.694352065270072,53.406322161280826,0.09509243439341197,1,drift,cost_per_resource,11402.870201920652
2026-03-20,231932465838,prod-ml,AmazonDynamoDB,us-west-2,5.0909,-91.71935448406063,0.42882573802399737,25.719233371302973,0.3409532117857587,-0.17947137733766627,1,drift,cost_per_resource,-333.70312060534116
2026-03-12,231932465838,prod-ml,AmazonDynamoDB,eu-west-1,6.149784,-161.92631777186958,0.36958686766036025,21.978186009509297,0.5914143309889035,-0.18204830231286173,1,spike,cost_ratio_to_7d_mean,474.9376900392864
2026-03-18,221958771155,prod-main,AmazonSageMaker,us-west-2,71179.373055,52492.85376252572,0.3673342064524492,9.95423833751556,65.67378104602834,0.10192317522114736,1,drift,cost_per_resource,11177.520484563465
2026-03-12,231932465838,prod-ml,AmazonDynamoDB,us-west-2,5.593678,-163.0161767128112,0.3638084215228579,21.62853111881149,0.5932901854697507,-0.18350908101194885,1,spike,cost_ratio_to_7d_mean,474.94490067451346
2026-02-17,231932465838,prod-ml,AmazonElastiCache,us-west-2,3472.245708,7351.714541515763,0.36202761052307175,18.448240512952577,13.63352893563774,-0.05810452582630121,1,drift,cost_ratio_to_28d_mean,2252.074704187349
2026-03-31,359178744167,staging,AmazonSageMaker,eu-west-1,16991.598684,28172.361998193075,0.3474012513574919,12.95354564989877,39.29365165721249,0.042741146335203095,1,drift,cost_per_resource,8056.041062406615
2026-02-18,231932465838,prod-ml,AmazonElastiCache,us-west-2,3250.633813,5278.1703672588,0.3406465852922034,17.97580655423658,7.124983131391394,-0.0552418607012134,1,drift,cost_ratio_to_28d_mean,1877.7478015034958
2026-02-17,231932465838,prod-ml,AmazonS3,us-west-2,362.574427,2525.8421621437305,0.33004360957570594,18.011589949823833,7.602005222182134,-0.13198502964358505,1,drift,cost_ratio_to_28d_mean,1358.3665230842828
2026-02-17,231932465838,prod-ml,AmazonS3,us-east-1,460.623553,1364.1296663539783,0.3292365268934791,18.543432097132015,3.174620749387062,-0.12881655749281196,1,drift,cost_ratio_to_28d_mean,1394.1080605042944
2026-03-20,231932465838,prod-ml,AmazonDynamoDB,eu-west-1,4.131878,-45.082236061474994,0.3284890094689607,19.72234682847683,0.17367838024060575,-0.20949785657154096,1,drift,cost_per_resource,-249.7483045909937
2026-01-23,210268832180,dev,AmazonEC2,us-west-2,662.292626,617.6726038503798,0.3169592629798227,18.442758972149353,0.15753261833984056,-0.154138983589874,1,spike,cost_ratio_to_7d_mean,444.60869078812556
